Pair
AUDCAD
AUDCHF
AUDJPY
AUDNZD
AUDSGD
AUDUSD
CADCHF
CADJPY
CHFJPY
CNHJPY
EURAUD
EURBRL
EURCAD
EURCHF
EURCNH
EURGBP
EURHKD
EURHUF
EURILS
EURJPY
EURMXN
EURNOK
EURNZD
EURPLN
EURSEK
EURSGD
EURUSD
EURZAR
GBPAUD
GBPCAD
GBPCHF
GBPJPY
GBPUSD
NOKSEK
NZDCAD
NZDJPY
NZDUSD
USDBRL
USDCAD
USDCHF
USDCNH
USDCNY
USDCZK
USDHKD
USDHUF
USDIDR
USDILS
USDINR
USDJPY
USDKRW
USDMXN
USDNOK
USDPHP
USDPLN
USDRUB
USDSEK
USDSGD
USDTRY
USDTWD
USDZAR
XAGUSD
XAUUSD
